step,total_l2_norm,mean_l2_norm,median_l2_norm,active_parameters,ratio_mean,ratio_rms_mean
100,0.6284146570152309,0.0013427663611436558,0.00033685233211144805,468,0.0006699329081457159,0.0006699329081457159
200,0.7103439894981562,0.0015178290373892228,0.00036350617301650345,468,0.0006551411904290466,0.0006551411904290466
300,0.666396474161953,0.0014239240900896432,0.0003085871139774099,468,0.0006268857791849665,0.0006268857791849665
400,0.7225820269983316,0.0015472848543861492,0.00036267851828597486,467,0.0011613007632778711,0.0011613007632778711
500,0.6764487091057276,0.0014484983064362476,0.00034746542223729193,467,0.0009645597220472654,0.0009645597220472654
600,0.42028775630287996,0.0008980507613309401,0.00018601257033878937,468,0.00039779697055954507,0.00039779697055954507
700,0.6834711139966867,0.0014604083632407834,0.00036556068516802043,468,0.0009169769297938827,0.0009169769297938826
800,0.6199728398159117,0.0013275649674858922,0.00031156124896369874,467,0.0006655265598549614,0.0006655265598549614
900,0.3840243231597915,0.0008205647930764776,0.00015381482080556452,468,0.00036245829157131615,0.0003624582915713161
1000,0.7546858639776701,0.0016160296873183515,0.00033198369783349335,467,0.0008230598265298347,0.0008230598265298347
1100,0.4747991754863854,0.0010167005899066068,0.0002185207122238353,467,0.0006582317688602991,0.0006582317688602991
1200,0.5067451436569197,0.0010827887684976916,0.00020685893832705915,468,0.0005425651657611584,0.0005425651657611584
1300,0.9578046837443281,0.002046591204581898,0.0007233708456624299,468,0.001336792182379882,0.001336792182379882
1400,0.5668005128257931,0.0012111122068927203,0.0002739808114711195,468,0.0006853070065294317,0.0006853070065294317
1500,0.6856234821406737,0.001465007440471525,0.00032428278063889593,468,0.0009512804645761544,0.0009512804645761544
1600,0.8231436582545655,0.0017626202532217677,0.0002579064457677305,467,0.0009041488365149506,0.0009041488365149506
1700,0.5709754024290561,0.0012226454013470152,0.00032095902133733034,467,0.0007955326943619739,0.0007955326943619739
1800,0.6568315680653765,0.0014034862565499497,0.00027710145513992757,468,0.0005216677206195989,0.0005216677206195989
