module_group,avg_total_l2,avg_ratio,ratio_std,avg_ma_total,avg_std_total,avg_sparsity,avg_heavy_tail,stability_ratio,recommended_bits,rationale
sam_mask_decoder.output_upscaling.0.bias,0.00026477502562912656,0.00048378657973001214,0.00030657667025363084,0.0002645562280589707,0.00015936607918149107,0.8937766606429842,21049.24591782362,0.6023902001882477,32,Extreme gradient-to-weight scaling
sam_mask_decoder.output_upscaling.0.weight,0.003982505787343657,0.0005870768641430572,0.00037843439863265995,0.003970327150172024,0.0023696673889099414,0.9962476543280104,9483455.297581904,0.5968443655347822,32,Extreme gradient-to-weight scaling
sam_mask_decoder.output_upscaling.1.bias,0.0006444352952712507,0.0004164152399221393,0.00030373040844105295,0.0006438435183985143,0.00044534156315808205,0.9126356590207098,179.54555499851864,0.6916922364394027,32,Extreme gradient-to-weight scaling
sam_mask_decoder.output_upscaling.1.weight,0.0007152482466272372,0.00018008079915689563,0.00010743905033326379,0.0007123251336099021,0.0003969031745480463,0.9432503280326516,78.89927260618147,0.5571938372251883,16,High gradient dynamics or heavy tails
sam_mask_decoder.output_upscaling.3.bias,0.0019961909571935867,0.0054956666606927615,0.004551423563071331,0.001995896143859843,0.001561443329391237,0.8325629705971198,20.66458932689396,0.7823269433105762,8,Default balance
sam_mask_decoder.output_upscaling.3.weight,0.00419548272190656,0.0007361511384185186,0.000519301702633889,0.004200990892945073,0.0027600666707533568,0.9917920908388014,856.3456518306301,0.6570037262847844,32,Extreme gradient-to-weight scaling
sam_mask_decoder.pred_obj_score_head.layers.0,0.00034417644063194675,3.089326384899241e-05,5.068383989462288e-05,0.0003531629601812328,0.0005225323082055409,0.9695001947718249,23227.166924187408,1.4795784584470373,32,Extreme gradient-to-weight scaling
sam_mask_decoder.pred_obj_score_head.layers.1,0.00019846126908724284,1.9223099129197288e-05,3.213428120707436e-05,0.0002021217254821145,0.00029086756346965634,0.9742942360136777,713.5080377684801,1.4390712466750382,32,Extreme gradient-to-weight scaling
sam_mask_decoder.pred_obj_score_head.layers.2,0.0005044901380572251,0.0005775017911113559,0.0009580797324480583,0.0005174498794918046,0.0007073431316234535,0.4506654380588078,12.843503645978588,1.3669790247475677,16,High gradient dynamics or heavy tails
sam_mask_decoder.transformer.final_attn_token_to_image.k_proj,0.002710909289800836,0.0002314327487361883,0.00012849803143936273,0.00270341876507509,0.001393806589342279,0.971348413067458,37346.59136930603,0.5155718408663057,32,Extreme gradient-to-weight scaling
sam_mask_decoder.transformer.final_attn_token_to_image.out_proj,0.00173749140903174,0.00015086555696850772,7.029880052280738e-05,0.0017353552595809913,0.0007375802956050822,0.9584135446064591,925276.1928857589,0.42503129634860704,32,Extreme gradient-to-weight scaling
